Event_Date,Event_Order,Event,Ticker,Reaction_10D_%,Volume_Change_%
2022-02-24,1,Ukraine War,HAG.DE,68.82068596831827,1583.1701897766222
2022-02-24,1,Ukraine War,RHM.DE,53.61569125759558,610.9333878091294
2022-02-24,1,Ukraine War,BBAI,42.09523882184709,1256.1302681992338
2022-02-24,1,Ukraine War,SAAB-B.ST,32.56420402103255,331.09929900934816
2022-02-24,1,Ukraine War,CHG.L,29.174669778915362,154.46094912677805
2022-02-24,1,Ukraine War,HO.PA,26.600299257309356,336.04638488142626
2022-02-24,1,Ukraine War,LDO.MI,20.132431814040828,576.7805955454617
2022-02-24,1,Ukraine War,QQ.L,19.191122837982565,-24.21567388506345
2022-02-24,1,Ukraine War,079550.KS,18.46404755558959,109.04701630215388
2022-02-24,1,Ukraine War,LDOS,18.44000233364178,22.898299433144388
2022-02-24,1,Ukraine War,BA.L,16.756400514162916,182.5339799750952
2022-02-24,1,Ukraine War,LMT,16.542566343706255,206.16295482081966
2022-02-24,1,Ukraine War,HII,16.298112486997375,96.81991640923133
2022-02-24,1,Ukraine War,KOG.OL,15.937938100983162,695.3362155540202
2022-02-24,1,Ukraine War,ESLT,15.736396725001377,197.0528455284553
2022-02-24,1,Ukraine War,LHX,15.278428001784206,85.31833016708073
2022-02-24,1,Ukraine War,NOC,14.688391629278442,92.71018752328517
2022-02-24,1,Ukraine War,CACI,14.248290299670096,35.00373174112379
2022-02-24,1,Ukraine War,012450.KS,13.95348565465444,339.3294495495845
2022-02-24,1,Ukraine War,AM.PA,12.061584159159278,282.42393985668974
2022-02-24,1,Ukraine War,BAH,11.720978057031273,13.730840687412904
2022-02-24,1,Ukraine War,GD,11.062917757260804,63.2561176326564
2022-02-24,1,Ukraine War,KTOS,9.664351909340896,170.57298577231626
2022-02-24,1,Ukraine War,600372.SS,9.411088287615366,54.02308861935514
2022-02-24,1,Ukraine War,000768.SZ,8.695653959781446,26.54458402236026
2022-02-24,1,Ukraine War,BAB.L,7.119639968641156,148.86720331285855
2022-02-24,1,Ukraine War,BEL.NS,6.915421223892326,160.43433030988817
2022-02-24,1,Ukraine War,047810.KS,6.808526830642436,22.97468196808783
2022-02-24,1,Ukraine War,RTX,5.947259240773706,99.85957568904115
2022-02-24,1,Ukraine War,7011.T,5.537044453423756,122.03606212161095
2022-02-24,1,Ukraine War,IDR.MC,5.140976462789548,15.606414648713308
2022-02-24,1,Ukraine War,600893.SS,3.432590958414372,28.0875550162218
2022-02-24,1,Ukraine War,600760.SS,2.3535831500719695,33.68523502442922
2022-02-24,1,Ukraine War,7012.T,1.261675977967358,19.766494705403215
2022-02-24,1,Ukraine War,HAL.NS,0.5532772784991424,18.82264121958419
2022-02-24,1,Ukraine War,600118.SS,-0.5921869854149997,15.030814284716065
2022-02-24,1,Ukraine War,ASB.AX,-2.238803778134224,-13.976882235250088
2022-02-24,1,Ukraine War,BDL.NS,-2.308572187239666,49.9786376953125
2022-02-24,1,Ukraine War,FCT.MI,-4.1108227746454284,611.2884610580486
2022-02-24,1,Ukraine War,SAF.PA,-9.268963553056764,90.86941425092263
2022-02-24,1,Ukraine War,AIR.PA,-9.714569845830045,70.04118959138921
2022-02-24,1,Ukraine War,PLTR,-18.826056293270753,-41.68568760675539
2022-08-02,2,Taiwan Crisis (Pelosi Visit),012450.KS,35.92232926353132,-20.12764057127221
2022-08-02,2,Taiwan Crisis (Pelosi Visit),BDL.NS,20.905844849892375,-2.2478497596856273
2022-08-02,2,Taiwan Crisis (Pelosi Visit),HAL.NS,15.111627462050725,28.618169617002344
2022-08-02,2,Taiwan Crisis (Pelosi Visit),079550.KS,14.60123003804783,7.678028086397015
2022-08-02,2,Taiwan Crisis (Pelosi Visit),600760.SS,13.824750340364789,56.59733635737689
2022-08-02,2,Taiwan Crisis (Pelosi Visit),BEL.NS,8.268881421896722,72.10115434191411
2022-08-02,2,Taiwan Crisis (Pelosi Visit),LMT,7.9987704049694575,-18.30391024583402
2022-08-02,2,Taiwan Crisis (Pelosi Visit),ESLT,7.670422544437616,125.82056892778995
2022-08-02,2,Taiwan Crisis (Pelosi Visit),HII,7.100779841558613,92.62518142235123
2022-08-02,2,Taiwan Crisis (Pelosi Visit),NOC,6.539961643717551,-28.117316855594964
